LUGAR ,FECHA,ALIMENTO,PRECIO,UNIDADES,OBSERVACIONES
surtifruver_lasabana,feb.-7,cebolla,1380,500 gr,cabezona
surtifruver_lasabana,feb.-7,coliflor,5570,500 gr,NA
surtifruver_lasabana,feb.-7,papa,2300,500 gr,sabanera
surtifruver_lasabana,feb.-7,tomate,2150,500 gr,larga vida
surtifruver_lasabana,feb.-7,zanahoria,1490,500 gr,NA
surtifruver_lasabana,feb.-7,fresa,6150,500 gr,NA
surtifruver_lasabana,feb.-7,granadilla,3990,500 gr,NA
surtifruver_lasabana,feb.-7,lulo,1945,500 gr,NA
surtifruver_lasabana,feb.-7,manzana,6300,500 gr,verde
surtifruver_lasabana,feb.-7,maracuya,3450,500 gr,NA
carulla,feb.-12,cebolla,1240,500 gr,cabezona
carulla,feb.-12,coliflor,6057,600 gr,NA
carulla,feb.-12,papa,1725,500 gr,NA
carulla,feb.-12,tomate,2100,500 gr,NA
carulla,feb.-12,zanahoria,1400,500 gr,NA
carulla,feb.-12,fresa,6147,500 gr,NA
carulla,feb.-12,granadilla,1633,unidad,NA
carulla,feb.-12,lulo,NA,NA,NA
carulla,feb.-12,manzana,5475,500 gr,Manzana Roja
carulla,feb.-12,maracuya,NA,NA,NA
surtifruver_lasabana,feb. -22,cebolla,1040,500 gr,cabezona
surtifruver_lasabana,feb. -22,coliflor,5600,unidad,NA
surtifruver_lasabana,feb. -22,papa,5300,3 lb,sabanera
surtifruver_lasabana,feb. -22,tomate,2000,500 gr,larga vida
surtifruver_lasabana,feb. -22,zanahoria,2312,500 gr,NA
surtifruver_lasabana,feb. -22,fresa,2450,500 gr,NA
surtifruver_lasabana,feb. -22,granadilla,4636,500 gr,NA
surtifruver_lasabana,feb. -22,lulo,2400,500 gr,NA
surtifruver_lasabana,feb. -22,manzana,2400,unidad,verde
surtifruver_lasabana,feb. -22,maracuya,3600,500 gr,NA
carulla,24-feb.,cebolla,1135,500 gr,cabezona
carulla,24-feb.,coliflor,7690,200 gr,NA
carulla,24-feb.,papa,NA,NA,NA
carulla,24-feb.,tomate,1800,500 gr,NA
carulla,24-feb.,zanahoria,1400,500 gr,NA
carulla,24-feb.,fresa,4690,500 gr,NA
carulla,24-feb.,granadilla,6000,500 gr,NA
carulla,24-feb.,lulo,NA,NA,NA
carulla,24-feb.,manzana,4975,500 gr,NA
carulla,24-feb.,maracuya,NA,NA,NA